"날짜","종가","시가","고가","저가","변동 %"
"2026- 04- 28","3.714","3.706","3.714","3.693","0.71%"
"2026- 04- 27","3.688","3.688","3.704","3.674","0.52%"
"2026- 04- 24","3.669","3.716","3.734","3.667","-0.76%"
"2026- 04- 23","3.697","3.713","3.713","3.684","0.35%"
"2026- 04- 22","3.684","3.708","3.711","3.668","-0.08%"
"2026- 04- 21","3.687","3.660","3.700","3.660","0.96%"
"2026- 04- 20","3.652","3.663","3.687","3.647","0.36%"
"2026- 04- 17","3.639","3.704","3.706","3.626","-1.33%"
"2026- 04- 16","3.688","3.702","3.715","3.680","-0.24%"
"2026- 04- 15","3.697","3.704","3.729","3.694","0.14%"
"2026- 04- 14","3.692","3.689","3.708","3.684","0.08%"
"2026- 04- 13","3.689","3.730","3.764","3.684","-0.30%"
"2026- 04- 10","3.700","3.704","3.724","3.668","0.54%"
"2026- 04- 09","3.680","3.704","3.709","3.653","-0.14%"
"2026- 04- 08","3.685","3.640","3.696","3.621","-0.30%"
"2026- 04- 07","3.696","3.726","3.747","3.648","-0.38%"
"2026- 04- 06","3.710","3.729","3.745","3.705","-0.13%"
"2026- 04- 03","3.715","3.681","3.758","3.678","1.23%"
"2026- 04- 02","3.670","3.701","3.732","3.665","0.03%"
"2026- 04- 01","3.669","3.677","3.695","3.639","-0.14%"
"2026- 03- 31","3.674","3.720","3.752","3.658","-1.10%"
"2026- 03- 30","3.715","3.774","3.795","3.704","-1.35%"
"2026- 03- 27","3.766","3.828","3.894","3.760","-1.49%"
"2026- 03- 26","3.823","3.777","3.855","3.777","1.35%"
"2026- 03- 25","3.772","3.791","3.810","3.761","-0.92%"
"2026- 03- 24","3.807","3.778","3.880","3.770","1.49%"
"2026- 03- 23","3.751","3.829","3.952","3.741","-1.70%"
"2026- 03- 20","3.816","3.762","3.848","3.762","1.54%"
"2026- 03- 19","3.758","3.699","3.819","3.699","2.48%"
"2026- 03- 18","3.667","3.635","3.704","3.624","1.07%"
"2026- 03- 17","3.628","3.649","3.649","3.617","0.00%"
"2026- 03- 16","3.628","3.652","3.657","3.620","-0.44%"
"2026- 03- 13","3.644","3.674","3.674","3.626","-0.46%"
"2026- 03- 12","3.661","3.624","3.672","3.589","2.01%"
"2026- 03- 11","3.589","3.582","3.603","3.568","0.96%"
"2026- 03- 10","3.555","3.569","3.587","3.542","-0.53%"
"2026- 03- 09","3.574","3.582","3.609","3.545","0.82%"
"2026- 03- 06","3.545","3.594","3.617","3.532","-1.28%"
"2026- 03- 05","3.591","3.578","3.612","3.578","0.36%"
"2026- 03- 04","3.578","3.562","3.583","3.551","0.68%"
"2026- 03- 03","3.554","3.560","3.648","3.546","0.23%"
"2026- 03- 02","3.546","3.496","3.552","3.490","1.90%"
"2026- 02- 27","3.480","3.529","3.536","3.477","-1.16%"
"2026- 02- 26","3.521","3.540","3.550","3.513","-0.14%"
"2026- 02- 25","3.526","3.521","3.548","3.521","0.20%"
"2026- 02- 24","3.519","3.521","3.529","3.508","0.46%"
"2026- 02- 23","3.503","3.532","3.548","3.503","-0.31%"
"2026- 02- 20","3.514","3.512","3.524","3.492","0.46%"
"2026- 02- 19","3.498","3.509","3.514","3.490","0.20%"
"2026- 02- 18","3.491","3.491","3.501","3.480","0.43%"
"2026- 02- 17","3.476","3.444","3.487","3.431","1.31%"
"2026- 02- 16","3.431","3.442","3.442","3.431","0.15%"
"2026- 02- 13","3.426","3.461","3.474","3.421","-0.78%"
"2026- 02- 12","3.453","3.483","3.496","3.443","-0.40%"
"2026- 02- 11","3.467","3.416","3.491","3.406","1.79%"
"2026- 02- 10","3.406","3.449","3.451","3.401","-0.79%"
"2026- 02- 09","3.433","3.460","3.465","3.425","-0.38%"
"2026- 02- 06","3.446","3.431","3.462","3.428","-0.03%"
"2026- 02- 05","3.447","3.509","3.509","3.426","-1.23%"
"2026- 02- 04","3.490","3.509","3.519","3.487","-0.23%"
"2026- 02- 03","3.498","3.509","3.519","3.487","0.06%"
"2026- 02- 02","3.496","3.483","3.512","3.469","0.55%"
"2026- 01- 30","3.477","3.521","3.526","3.475","-0.49%"
"2026- 01- 29","3.494","3.521","3.537","3.494","-0.68%"
"2026- 01- 28","3.518","3.519","3.529","3.505","0.37%"
"2026- 01- 27","3.505","3.529","3.548","3.500","-0.23%"
"2026- 01- 26","3.513","3.548","3.548","3.513","-0.40%"
"2026- 01- 23","3.527","3.549","3.554","3.516","-0.17%"
"2026- 01- 22","3.533","3.544","3.557","3.528","0.06%"
"2026- 01- 21","3.531","3.520","3.541","3.515","0.06%"
"2026- 01- 20","3.529","3.569","3.582","3.527","-1.06%"
"2026- 01- 19","3.567","3.567","3.567","3.567","0.39%"
"2026- 01- 16","3.553","3.552","3.572","3.540","0.40%"
"2026- 01- 15","3.539","3.510","3.546","3.507","1.00%"
"2026- 01- 14","3.504","3.523","3.531","3.496","-0.17%"
"2026- 01- 13","3.510","3.526","3.542","3.494","-0.37%"
"2026- 01- 12","3.523","3.510","3.542","3.510","0.37%"
"2026- 01- 09","3.510","3.500","3.521","3.489","0.75%"
"2026- 01- 08","3.484","3.490","3.532","3.479","0.14%"
"2026- 01- 07","3.479","3.501","3.501","3.466","0.00%"
"2026- 01- 06","3.479","3.485","3.495","3.471","0.38%"
"2026- 01- 05","3.466","3.491","3.496","3.466","-0.17%"
"2026- 01- 02","3.472","3.485","3.501","3.469","-0.25%"
"2026- 01- 01","3.481","3.481","3.481","3.481","0.16%"
"2025- 12- 31","3.475","3.486","3.499","3.470","0.14%"
